date,equity
2024-10-15,500.0000
2024-10-16,500.0000
2024-10-17,500.0000
2024-10-18,500.0000
2024-10-21,500.0000
2024-10-22,500.0000
2024-10-23,500.0000
2024-10-24,500.0000
2024-10-25,500.0000
2024-10-28,500.0000
2024-10-29,500.0000
2024-10-30,500.0000
2024-10-31,500.0000
2024-11-01,500.0000
2024-11-04,499.9923
2024-11-05,500.2223
2024-11-06,499.6528
2024-11-07,498.9528
2024-11-08,498.6528
2024-11-11,498.8728
2024-11-12,498.6728
2024-11-13,499.2328
2024-11-14,498.4028
2024-11-15,497.4128
2024-11-18,497.6228
2024-11-19,497.5328
2024-11-20,497.1279
2024-11-21,497.7579
2024-11-22,498.5469
2024-11-25,498.5469
2024-11-26,498.5469
2024-11-27,498.5469
2024-11-29,498.5469
2024-12-02,498.5469
2024-12-03,498.5469
2024-12-04,498.5469
2024-12-05,498.5469
2024-12-06,498.5469
2024-12-09,498.3278
2024-12-10,498.3378
2024-12-11,498.3878
2024-12-12,497.5478
2024-12-13,497.2299
2024-12-16,497.2299
2024-12-17,497.4437
2024-12-18,496.3155
2024-12-19,496.2691
2024-12-20,499.1591
2024-12-23,499.2791
2024-12-24,500.4291
2024-12-26,500.4702
2024-12-27,499.5602
2024-12-30,498.2702
2024-12-31,498.2202
2025-01-02,499.9035
2025-01-03,500.8234
2025-01-06,502.0881
2025-01-07,502.0881
2025-01-08,502.0881
2025-01-10,502.0881
2025-01-13,502.0881
2025-01-14,502.0881
2025-01-15,502.0881
2025-01-16,502.0881
2025-01-17,502.0881
2025-01-21,502.0881
2025-01-22,502.0881
2025-01-23,502.0881
2025-01-24,502.0881
2025-01-27,502.0881
2025-01-28,502.0881
2025-01-29,501.4094
2025-01-30,502.0176
2025-01-31,501.5076
2025-02-03,501.4576
2025-02-04,501.8876
2025-02-05,502.5576
2025-02-06,503.0176
2025-02-07,502.3776
2025-02-10,502.1376
2025-02-11,502.0676
2025-02-12,501.8448
2025-02-13,503.9548
2025-02-14,503.6552
2025-02-18,507.6331
2025-02-19,505.9631
2025-02-20,506.3331
2025-02-21,505.1131
2025-02-24,504.5131
2025-02-25,503.2331
2025-02-26,503.7631
2025-02-27,503.3331
2025-02-28,505.2181
2025-03-03,505.2181
2025-03-04,505.2181
2025-03-05,505.2181
2025-03-06,505.2181
2025-03-07,505.2181
2025-03-10,505.2181
2025-03-11,505.2181
2025-03-12,505.2181
2025-03-13,505.0172
2025-03-14,504.9872
2025-03-17,505.0872
2025-03-18,505.1272
2025-03-19,505.0272
2025-03-20,504.7772
2025-03-21,504.2972
2025-03-24,504.2372
2025-03-25,504.8572
2025-03-26,504.8072
2025-03-27,505.5972
2025-03-28,505.2772
2025-03-31,505.1163
2025-04-01,505.1318
2025-04-02,505.2918
2025-04-03,504.8818
2025-04-04,503.3145
2025-04-07,503.0345
2025-04-08,502.2445
2025-04-09,503.8145
2025-04-10,503.1345
2025-04-11,504.2454
2025-04-14,504.4554
2025-04-15,504.7754
2025-04-16,504.3754
2025-04-17,504.4383
2025-04-21,504.4383
2025-04-22,504.4383
2025-04-23,504.4383
2025-04-24,504.4383
2025-04-25,504.4383
2025-04-28,504.4383
2025-04-29,504.4383
2025-04-30,504.4383
2025-05-01,504.4383
2025-05-02,504.4383
2025-05-05,504.4383
2025-05-06,504.4383
2025-05-07,504.4383
2025-05-08,504.4383
2025-05-09,504.4383
2025-05-12,504.4383
2025-05-13,504.4383
2025-05-14,504.4383
2025-05-15,504.4383
2025-05-16,504.4383
2025-05-19,504.4383
2025-05-20,504.4383
2025-05-21,504.4383
2025-05-22,504.4383
2025-05-23,504.4383
2025-05-27,504.4383
2025-05-28,504.4383
2025-05-29,504.4383
2025-05-30,504.4383
2025-06-02,504.7270
2025-06-03,504.5770
2025-06-04,504.4770
2025-06-05,505.5870
2025-06-06,505.8270
2025-06-09,506.5270
2025-06-10,506.3670
2025-06-11,506.0870
2025-06-12,506.1970
2025-06-13,506.1070
2025-06-16,506.1670
2025-06-17,506.8770
2025-06-18,505.8843
2025-06-20,505.8843
2025-06-23,505.8843
2025-06-24,505.8843
2025-06-25,505.8843
2025-06-26,505.8843
2025-06-27,505.8843
2025-06-30,505.8843
2025-07-01,505.7691
2025-07-02,506.0491
2025-07-03,506.1091
2025-07-07,505.9691
2025-07-08,506.3491
2025-07-09,506.2891
2025-07-10,506.0249
2025-07-11,507.1749
2025-07-14,506.4749
2025-07-15,505.4053
2025-07-16,505.5553
2025-07-17,505.7953
2025-07-18,505.7553
2025-07-21,506.4953
2025-07-22,506.8653
2025-07-23,506.8353
2025-07-24,506.6353
2025-07-25,505.8053
2025-07-28,505.7506
2025-07-29,505.7506
2025-07-30,505.7506
2025-07-31,505.7173
2025-08-01,505.9173
2025-08-04,505.9573
2025-08-05,507.0826
2025-08-06,507.0826
2025-08-07,507.0826
2025-08-08,507.0826
2025-08-11,507.0826
2025-08-12,507.0826
2025-08-13,507.0826
2025-08-14,507.0826
2025-08-15,507.0826
2025-08-18,507.0826
2025-08-19,507.0826
2025-08-20,507.0826
2025-08-21,507.0826
2025-08-22,507.3176
2025-08-25,506.9976
2025-08-26,506.9976
2025-08-27,506.9676
2025-08-28,507.4976
2025-08-29,508.1676
2025-09-02,509.1276
2025-09-03,509.3176
2025-09-04,508.9076
2025-09-05,509.1876
2025-09-08,509.4876
2025-09-09,509.2902
2025-09-10,509.2902
2025-09-11,509.2902
2025-09-12,509.2902
2025-09-15,509.2902
2025-09-16,509.2902
2025-09-17,509.2902
2025-09-18,509.2902
2025-09-19,509.2902
2025-09-22,509.2902
2025-09-23,509.2902
2025-09-24,509.2902
2025-09-25,509.2902
2025-09-26,509.2902
2025-09-29,509.2902
2025-09-30,508.7742
2025-10-01,510.5042
2025-10-02,510.3742
2025-10-03,510.6642
2025-10-06,509.7242
2025-10-07,509.5642
2025-10-08,508.9742
2025-10-09,508.5342
2025-10-10,508.1094
2025-10-13,508.1094
2025-10-14,508.1094
2025-10-15,508.1094
2025-10-16,508.1094
2025-10-17,508.1094
2025-10-20,508.1094
2025-10-21,508.1094
2025-10-22,508.1094
2025-10-23,508.1094
2025-10-24,508.1094
2025-10-27,508.1094
2025-10-28,508.1094
2025-10-29,508.1094
2025-10-30,508.1094
2025-10-31,508.1094
2025-11-03,508.1094
2025-11-04,508.1094
2025-11-05,508.1094
2025-11-06,508.1094
2025-11-07,508.1094
2025-11-10,508.1094
2025-11-11,508.1990
2025-11-12,508.5590
2025-11-13,508.4790
2025-11-14,507.7490
2025-11-17,507.7690
2025-11-18,508.1390
2025-11-19,507.5690
2025-11-20,507.2494
2025-11-21,507.2494
2025-11-24,507.2494
2025-11-25,507.2494
2025-11-26,507.2494
2025-11-28,507.2494
2025-12-01,507.2494
2025-12-02,507.2494
2025-12-03,507.2494
2025-12-04,507.2494
2025-12-05,507.2494
2025-12-08,507.2494
2025-12-09,507.2494
2025-12-10,507.2494
2025-12-11,507.2494
2025-12-12,507.2494
2025-12-15,507.2494
2025-12-16,507.2494
2025-12-17,507.2494
2025-12-18,507.2494
2025-12-19,507.2494
2025-12-22,507.2494
2025-12-23,507.2494
2025-12-24,507.2494
2025-12-26,507.2494
2025-12-29,507.2494
2025-12-30,507.2494
2025-12-31,507.2494
2026-01-02,507.2494
2026-01-05,507.2494
2026-01-06,507.2494
2026-01-07,507.2494
2026-01-08,507.2494
2026-01-09,507.2494
2026-01-12,507.2494
2026-01-13,507.2494
2026-01-14,507.2494
2026-01-15,507.2494
2026-01-16,507.2494
2026-01-20,507.2494
2026-01-21,507.2494
2026-01-22,507.2494
2026-01-23,507.2494
2026-01-26,507.2494
2026-01-27,507.4582
2026-01-28,506.8182
2026-01-29,507.0582
2026-01-30,507.3982
2026-02-02,507.6182
2026-02-03,506.7282
2026-02-04,507.7382
2026-02-05,507.4482
2026-02-06,508.1782
2026-02-09,508.0082
2026-02-10,508.5682
2026-02-11,508.6882
2026-02-12,508.5306
2026-02-13,508.5306
2026-02-17,508.5306
2026-02-18,508.5306
2026-02-19,508.5306
2026-02-20,508.5306
2026-02-23,508.5306
