symbol,layer_name,entry_time,exit_time,entry_price,exit_price,qty,pnl,slippage,exit_reason,hold_minutes
SLV,L4_VOL_SURGE,2026-01-05 09:28:00+00:00,2026-01-05 09:29:00+00:00,68.93,68.89,1,-0.1089,0.0689,SIGNAL,1.0
XLE,L1_VWAP_MR,2026-01-05 09:20:00+00:00,2026-01-05 09:44:00+00:00,47.43,47.56,2,0.165,0.095,SIGNAL,24.0
XLE,L4_VOL_SURGE,2026-01-05 09:43:00+00:00,2026-01-05 09:45:00+00:00,47.53,47.58,2,0.0049,0.0951,SIGNAL,2.0
XLE,L4_VOL_SURGE,2026-01-05 09:51:00+00:00,2026-01-05 09:54:00+00:00,47.72,47.71,2,-0.1154,0.0954,SIGNAL,3.0
XLE,L4_VOL_SURGE,2026-01-05 09:58:00+00:00,2026-01-05 09:59:00+00:00,47.8,47.8,2,-0.0956,0.0956,SIGNAL,1.0
INTC,L4_VOL_SURGE,2026-01-05 10:01:00+00:00,2026-01-05 10:02:00+00:00,40.12,40.12,3,-0.1204,0.1204,SIGNAL,1.0
INTC,L4_VOL_SURGE,2026-01-05 10:09:00+00:00,2026-01-05 10:10:00+00:00,40.16,40.17,3,-0.0905,0.1205,SIGNAL,1.0
SLV,L4_VOL_SURGE,2026-01-05 10:12:00+00:00,2026-01-05 10:13:00+00:00,69.06,69.07,1,-0.0591,0.0691,SIGNAL,1.0
SLV,L4_VOL_SURGE,2026-01-05 10:33:00+00:00,2026-01-05 10:34:00+00:00,69.17,69.16,1,-0.0792,0.0692,SIGNAL,1.0
INTC,L4_VOL_SURGE,2026-01-05 10:41:00+00:00,2026-01-05 10:42:00+00:00,40.4,40.45,3,0.0287,0.1213,SIGNAL,1.0
TLT,L4_VOL_SURGE,2026-01-05 10:42:00+00:00,2026-01-05 10:43:00+00:00,87.3,87.29,1,-0.0973,0.0873,SIGNAL,1.0
SLV,L1_VWAP_MR,2026-01-05 11:01:00+00:00,2026-01-05 11:04:00+00:00,68.6,68.48,1,-0.1885,0.0685,STOP,3.0
TLT,L4_VOL_SURGE,2026-01-05 11:10:00+00:00,2026-01-05 11:11:00+00:00,87.33,87.34,1,-0.0773,0.0873,SIGNAL,1.0
SLV,L1_VWAP_MR,2026-01-05 11:05:00+00:00,2026-01-05 11:16:00+00:00,68.5,68.43,1,-0.1385,0.0685,STOP,11.0
SLV,L1_VWAP_MR,2026-01-05 11:17:00+00:00,2026-01-05 11:18:00+00:00,68.45,68.3,1,-0.2184,0.0684,STOP,1.0
INTC,L4_VOL_SURGE,2026-01-05 11:22:00+00:00,2026-01-05 11:23:00+00:00,40.8,40.83,3,-0.0324,0.1224,SIGNAL,1.0
SLV,L1_VWAP_MR,2026-01-05 11:19:00+00:00,2026-01-05 11:24:00+00:00,68.3,68.22017616810463,1,-0.1481,0.0683,STOP,5.0
SLV,L3_RSI_SCALP,2026-01-05 11:22:00+00:00,2026-01-05 11:25:00+00:00,68.39,68.09,1,-0.3682,0.0682,STOP,3.0
SLV,L1_VWAP_MR,2026-01-05 11:26:00+00:00,2026-01-05 11:31:00+00:00,67.85,68.05,1,0.1321,0.0679,SIGNAL,5.0
SLV,L3_RSI_SCALP,2026-01-05 11:28:00+00:00,2026-01-05 11:34:00+00:00,68.0,68.05,1,-0.018,0.068,SIGNAL,6.0
TLT,L4_VOL_SURGE,2026-01-05 11:38:00+00:00,2026-01-05 11:39:00+00:00,87.33,87.33,1,-0.0873,0.0873,SIGNAL,1.0
XLE,L4_VOL_SURGE,2026-01-05 11:41:00+00:00,2026-01-05 11:42:00+00:00,47.8,47.79,2,-0.1156,0.0956,SIGNAL,1.0
SLV,L1_VWAP_MR,2026-01-05 11:47:00+00:00,2026-01-05 11:50:00+00:00,68.2,68.3,1,0.0318,0.0682,SIGNAL,3.0
SLV,L4_VOL_SURGE,2026-01-05 11:49:00+00:00,2026-01-05 11:51:00+00:00,68.27,68.2,1,-0.1382,0.0682,SIGNAL,2.0
SLV,L1_VWAP_MR,2026-01-05 11:55:00+00:00,2026-01-05 11:56:00+00:00,68.0,67.83,1,-0.2379,0.0679,STOP,1.0
SLV,L1_VWAP_MR,2026-01-05 11:57:00+00:00,2026-01-05 12:00:00+00:00,67.87,67.78479174024882,1,-0.153,0.0678,STOP,3.0
